"no";"item";"category";"price"
1;"HOT AND SOUR VEG SOUP";"SOUPS";350.0
2;"CHETTINAD PANEER TIKKA";"APPETISERS";425.0
3;"HOT TEAPOT HOLUD SOUP";"SOUPS";350.0
4;"ROAST CHICKEN AND MUSHROOM SOUP";"SOUPS";350.0
5;"GO GREEN SALAD";"SALADS";375.0
6;"CORN SEEKH KEBAB";"APPETISERS";375.0
7;"SPEGHATTI WITH SMOKED CHICKEN";"PASTA";550.0
8;"LASAGNA OF TOASTED LAMB BOLOGNAISE";"PASTA";575.0
9;"SUBZ BIRYANI";"MAIN COURSE";475.0
10;"CANNELONI AND RATATOULLI BAKE";"INTERNATIONAL";495.0
11;"MATTAR PANEER";"MAIN COURSE";525.0
12;"ASSORTED ICE CREAM OR SORBETS";"DESSERTS";325.0
13;"FISH AND CHIPS WITH TARTAR SAUCE";"INTERNATIONAL";625.0
14;"KAKORI KEBABS";"STARTERS";425.0
15;"SEA SCALLOPS";"STARTERS";650.0
16;"CRISP CHICKEN LOLLIPOPS";"APPETISERS";525.0
17;"LINGUINI WITH FRESH HERBS";"PASTA";495.0
18;"MASSALA TOMATO SOUP";"SOUPS";350.0
19;"PANEER TIKKA";"STARTERS";525.0
20;"PANCHRATAN KAJU KORMA";"MAIN COURSE";525.0
21;"TANDOORI CHICKEN";"MAIN COURSE";625.0
22;"SUBZ PHALLI KI TIKKI";"APPETISERS";350.0
23;"MURGH DHANIWAL KORMA";"MAIN COURSE";625.0
24;"HOME STYLE FISH CURRY";"MAIN COURSE";625.0
25;"LAAL MIRCH KA GOSHT";"MAIN COURSE";675.0
26;"SRI LANKAN PRAWN CURRY";"MAIN COURSE";950.0
27;"AMERICAN CORN CREPES";"INTERNATIONAL";495.0
28;"GRILLED PRAWNS WITH CHILLI";"INTERNATIONAL";975.0
29;"SOUTH INDIAN COFFEE KALAKAND";"DESSERTS";350.0
30;"CHUTNEY PANEER KE PAKODE";"APPETISERS";350.0
